result_id,status,endpoint,clinical_definition,task,analysis_set,evaluation_design,reporting_level,model_family,model_name,fusion_type,feature_model,cohort_source,external_result_path,summary_file,prediction_file,has_patient_ids,has_fold_ids,metrics_existing,metrics_missing,needs_early_prediction_filter,needs_patient_aggregation,needs_interpretability_regeneration,thesis_use,planned_table_or_figure,notes
lgd2_primary_cohort,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,cohort_definition,primary_lgd2,5-fold patient-disjoint CV,patient+biopsy+sample,cohort,NA,NA,NA,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,NA,NA,yes,no,"row/patient/biopsy counts; LGD2 labels present","final cohort table doc; early-prediction flag; exclusion reasons",yes,yes,no,Primary cohort definition,Table 1 cohort flow,Do not commit the external CSV.
lgd2_cnv_core,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,primary_lgd2,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,CNV-only,cnv_random_forest,none,cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/cnv_anchor,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/cnv_anchor/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/cnv_anchor/runs/cnv/all_samples/core_binary/cv/predictions_all_samples_cnv_random_forest_windows_armdiff_plus_arms_plus_cx_NextBiopsyProgression_LGD2plus_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier; patient AUC/sens/spec/TP/FN","patient AUPRC; patient Brier/calibration; PPV/NPV; FP/TN; fixed operating points",yes,yes,no,Primary CNV baseline,Main model comparison table,Best stored patient aggregation uses cnv_random_forest.
lgd2_cnv_variants,SUPPLEMENTARY,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,cnv_resolution_sensitivity,5-fold patient-disjoint CV,sample,CNV-only,"cnv_pca_logreg; cnv_random_forest; cnv_xgboost",none,cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/cnv_variants/cnv_anchor,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/cnv_variants/cnv_anchor/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/cnv_variants/cnv_anchor/runs/cnv/all_samples/variant_binary/cv/predictions_all_samples_*_NextBiopsyProgression_LGD2plus_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier across arms_only; external_arms_500kb; topk_arms_k5; windows_armdiff_plus_arms_plus_cx; windows_plus_arms","patient-level clinical metrics by CNV variant",yes,yes,no,CNV resolution sensitivity,Supplementary CNV variant table,Use as evidence of reasonable CNV-resolution testing.
lgd2_image_gigapath,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,primary_lgd2,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,histology-only,set_transformer_lite,none,gigapath,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath/runs/image/all_samples/core_gpu/cv/predictions_all_samples_set_transformer_lite_NextBiopsyProgression_LGD2plus_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier; patient AUC/sens/spec/TP/FN","patient AUPRC; patient Brier/calibration; PPV/NPV; FP/TN; fixed operating points",yes,yes,yes,Primary image baseline,Main model comparison table,Best stored patient image row uses gigapath set_transformer_lite.
lgd2_image_uni2,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,foundation_model_sensitivity,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,histology-only,"abmil; set_transformer_lite",none,uni2,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2/runs/image/all_samples/core_gpu/cv/predictions_all_samples_*_NextBiopsyProgression_LGD2plus_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier","full patient clinical metrics",yes,yes,yes,Foundation-model sensitivity,Supplementary foundation image table,UNI2 included as reasonable histology foundation model.
lgd2_image_virchow2,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,foundation_model_sensitivity,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,histology-only,"abmil; set_transformer_lite",none,virchow2,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2/runs/image/all_samples/core_gpu/cv/predictions_all_samples_*_NextBiopsyProgression_LGD2plus_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier","full patient clinical metrics",yes,yes,yes,Foundation-model sensitivity,Supplementary foundation image table,Virchow2 included as reasonable histology foundation model.
lgd2_early_fusion_gigapath,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,primary_lgd2,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,multimodal,"early_mean_mlp; early_mean_mlp_timev1",early_fusion,gigapath+cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath/runs/multimodal/all_samples/core_gpu/cv/predictions_all_samples_early_mean_mlp*_windows_armdiff_plus_arms_plus_cx_NextBiopsyProgression_LGD2plus_k0_uniform_epca0_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier","full patient clinical metrics",yes,yes,yes,Primary fusion comparison,Main model comparison table,Early fusion is represented in the locked LGD2 campaign.
lgd2_early_fusion_uni2,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,primary_lgd2,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,multimodal,"early_mean_mlp; early_mean_mlp_timev1",early_fusion,uni2+cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2/runs/multimodal/all_samples/core_gpu/cv/predictions_all_samples_early_mean_mlp*_windows_armdiff_plus_arms_plus_cx_NextBiopsyProgression_LGD2plus_k0_uniform_epca0_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier","full patient clinical metrics",yes,yes,yes,Primary/supplementary fusion comparison,Main or supplementary model comparison table,UNI2 early fusion also used in H200 patient-signal support.
lgd2_early_fusion_virchow2,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,primary_lgd2,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,multimodal,"early_mean_mlp; early_mean_mlp_timev1",early_fusion,virchow2+cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2/runs/multimodal/all_samples/core_gpu/cv/predictions_all_samples_early_mean_mlp*_windows_armdiff_plus_arms_plus_cx_NextBiopsyProgression_LGD2plus_k0_uniform_epca0_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier","full patient clinical metrics",yes,yes,yes,Primary/supplementary fusion comparison,Main or supplementary model comparison table,Virchow2 early fusion present but not best patient row.
lgd2_intermediate_fusion_gigapath,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,primary_lgd2,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,multimodal,intermediate_abmil_cnv,intermediate_fusion,gigapath+cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath/runs/multimodal/all_samples/core_gpu/cv/predictions_all_samples_intermediate_abmil_cnv_windows_armdiff_plus_arms_plus_cx_NextBiopsyProgression_LGD2plus_k0_uniform_epca0_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier; patient AUC/sens/spec/TP/FN","patient AUPRC; patient Brier/calibration; PPV/NPV; FP/TN; fixed operating points",yes,yes,yes,Primary best multimodal candidate,Main model comparison table,Best stored patient row: AUC 0.887 with patient_max.
