model,modality,kind,task_types_supported,architecture_summary
latefusion_cnv_only,cnv,derived,"binary,multiclass,regression",Late-fusion derived baseline using CNV predictions only
cnv_elasticnet_logreg,cnv,trainable,"binary,multiclass,regression",Elastic-net generalized linear family (classification/regression)
cnv_linear_svm_calibrated,cnv,trainable,"binary,multiclass,regression",Linear SVM family with probability calibration / SVR variant
cnv_mlp,cnv,trainable,"binary,multiclass,regression",Feed-forward MLP classifier/regressor for CNV tabular features
cnv_pca_logreg,cnv,trainable,"binary,multiclass,regression",PCA-reduced CNV features + L2 logistic / ridge family
cnv_random_forest,cnv,trainable,"binary,multiclass,regression",Random forest classifier/regressor on CNV feature vectors
cnv_temporal_delta_logreg,cnv,trainable,"binary,multiclass,regression",Temporal-delta CNV augmentation + PCA + linear model
cnv_xgboost,cnv,trainable,"binary,multiclass,regression",XGBoost gradient-boosted trees (with sklearn fallback)
latefusion_abmil_img_only,image,derived,"binary,multiclass,regression",Late-fusion derived baseline using ABMIL image predictions only
latefusion_pool_mean_img_only,image,derived,"binary,multiclass,regression",Late-fusion derived baseline using pool_mean image predictions only
abmil,image,trainable,"binary,multiclass,regression",Attention MIL (gated attention pooling over tile embeddings)
abmil_nogate,image,trainable,"binary,multiclass,regression",Attention MIL (non-gated attention pooling variant)
pool_mean,image,trainable,"binary,multiclass,regression",Mean pooling MIL baseline over slide-level tile embeddings
set_transformer_lite,image,trainable,"binary,multiclass,regression",Lightweight Set-Transformer MIL encoder over tile sets
latefusion_abmil_mean,multimodal,derived,"binary,multiclass,regression",Late fusion: mean of ABMIL image + CNV fold predictions
latefusion_abmil_stack_logit,multimodal,derived,"binary,multiclass,regression",Late fusion: leakage-safe logistic stacker on ABMIL+CNV fold predictions
latefusion_pool_mean_mean,multimodal,derived,"binary,multiclass,regression",Late fusion: mean of pool_mean image + CNV fold predictions
latefusion_pool_mean_stack_logit,multimodal,derived,"binary,multiclass,regression",Late fusion: leakage-safe logistic stacker on pool_mean+CNV fold predictions
coattn_abmil_cnv,multimodal,trainable,"binary,multiclass,regression",Cross-modal co-attention between ABMIL image tokens and CNV features
early_max_mlp,multimodal,trainable,"binary,multiclass,regression",Early fusion (max/alt pooling variant) + MLP head
early_mean_mlp,multimodal,trainable,"binary,multiclass,regression",Early fusion: concatenate image+CNV representations -> MLP head
early_mean_mlp_timev1,multimodal,trainable,"binary,multiclass,regression",Early fusion with temporal-aware feature variant + MLP head
intermediate_abmil_cnv,multimodal,trainable,"binary,multiclass,regression",Intermediate fusion between ABMIL image branch and CNV branch
