date_utc,experiment_family,source_type,public_safe,public_artifact,headline
2026-03-04,CNV-masked follow-up sweep,campaign,yes,cnv_masked_alltasks_global_results_summary.csv,CNV masking follow-up across all tasks and conditions
2026-03-05,LGD3plus canonical full-coverage campaign,campaign,yes,lgd3plus_fullcoverage_global_results_summary.csv,Main 5-fold canonical baseline used by later analyses
2026-03-05,AtRisk no-leak EPYC relaunch,campaign+report,yes,atrisk_noleak_top_models.csv,No-leak AtRisk 1y/3y/5y benchmark with multimodal and MoE winners
2026-03-05,Critical next-biopsy evaluation,report,yes,critical_biopsy_patient_level.csv,Sample-level and patient-level false-negative analysis for next-biopsy progression
2026-03-06,Biopsy to patient aggregation study,report,yes,biopsy_patient_aggregation_combined.csv,Aggregation strategy comparison for Progressor and canonical NextBiopsyProgression
2026-03-06,Distance-to-progression analysis,report,yes,progressor_detection_horizon_summary.csv,Detection horizon and never-caught analysis on pre-progression biopsies
2026-03-06,Fusion rescue or hurt analysis,report,yes_aggregated_only,fusion_rescue_hurt_counts.csv,Only de-identified overlap counts retained; patient-level group files excluded
2026-03-06,Modality-weight time-to-progression analysis,report,yes,modality_weight_spearman.csv,Image-vs-CNV reliance shifts over time before progression
2026-03-06,Union progressor label derivation,cohort_derivation,aggregate_counts_only,progressor_union_label_summary.csv,Only cohort-level count deltas retained; derived master excluded
2026-03-10,Post-local grade comparison,report,aggregate_counts_only,post_local_grade_shift_summary.csv,Only cohort-level counts retained; patient-level comparison tables excluded
