case_id,output_file,exists,size_bytes,parse_status,key_fields,status,warning
A_true_positive_early_01,top_tiles_grid.png,True,2406615,image_opened,dimensions=1156x1356,PASS,
A_true_positive_early_01,bottom_tiles_grid.png,True,1542460,image_opened,dimensions=1156x1356,PASS,
A_true_positive_early_01,heatmap_overlay.png,True,2142813,image_opened,dimensions=1745x2048,PASS,
A_true_positive_early_01,heatmap_overlay_shuffle.png,True,2144449,image_opened,dimensions=1745x2048,PASS,
A_true_positive_early_01,tile_scores.csv,True,11049,parsed,"tile_idx,x_level,y_level,score_raw,score_norm,tissue_keep",PASS,
A_true_positive_early_01,metadata.json,True,2660,parsed,sample_id=SLX-12451.D712_D501; patient_id=PR1/WSH/049; model=abmil; model_prob_explain=0.9464189201571863; n_tiles_used=256; attribution_method=attention,PASS,
A_true_positive_early_02,top_tiles_grid.png,True,2161009,image_opened,dimensions=1156x1356,PASS,
A_true_positive_early_02,bottom_tiles_grid.png,True,2030529,image_opened,dimensions=1156x1356,PASS,
A_true_positive_early_02,heatmap_overlay.png,True,1971212,image_opened,dimensions=1489x2048,PASS,
A_true_positive_early_02,heatmap_overlay_shuffle.png,True,1972424,image_opened,dimensions=1489x2048,PASS,
A_true_positive_early_02,tile_scores.csv,True,11289,parsed,"tile_idx,x_level,y_level,score_raw,score_norm,tissue_keep",PASS,
A_true_positive_early_02,metadata.json,True,2718,parsed,sample_id=SLX-12455.D701_D504; patient_id=PR1/BED/060; model=abmil; model_prob_explain=0.9470732163624669; n_tiles_used=256; attribution_method=attention,PASS,
B_false_negative_07,top_tiles_grid.png,True,2289816,image_opened,dimensions=1156x1356,PASS,
B_false_negative_07,bottom_tiles_grid.png,True,2295977,image_opened,dimensions=1156x1356,PASS,
B_false_negative_07,heatmap_overlay.png,True,2288381,image_opened,dimensions=1479x2048,PASS,
B_false_negative_07,heatmap_overlay_shuffle.png,True,2290565,image_opened,dimensions=1479x2048,PASS,
B_false_negative_07,tile_scores.csv,True,11119,parsed,"tile_idx,x_level,y_level,score_raw,score_norm,tissue_keep",PASS,
B_false_negative_07,metadata.json,True,2657,parsed,sample_id=SLX-13692.D703_D508; patient_id=AHM1146; model=abmil; model_prob_explain=0.07743829654051285; n_tiles_used=256; attribution_method=attention,PASS,
C_false_positive_12,top_tiles_grid.png,True,693768,image_opened,dimensions=1156x1356,PASS,
C_false_positive_12,bottom_tiles_grid.png,True,2379222,image_opened,dimensions=1156x1356,PASS,
C_false_positive_12,heatmap_overlay.png,True,2979759,image_opened,dimensions=2005x2048,PASS,
C_false_positive_12,heatmap_overlay_shuffle.png,True,2978127,image_opened,dimensions=2005x2048,PASS,
C_false_positive_12,tile_scores.csv,True,11873,parsed,"tile_idx,x_level,y_level,score_raw,score_norm,tissue_keep",PASS,
C_false_positive_12,metadata.json,True,2646,parsed,sample_id=SLX-13692.D711_D505; patient_id=AD0594; model=abmil; model_prob_explain=0.8908754283294973; n_tiles_used=256; attribution_method=attention,PASS,
E_cnv_rescue_19,top_tiles_grid.png,True,1969596,image_opened,dimensions=1156x1356,PASS,
E_cnv_rescue_19,bottom_tiles_grid.png,True,2179963,image_opened,dimensions=1156x1356,PASS,
E_cnv_rescue_19,heatmap_overlay.png,True,2417254,image_opened,dimensions=2048x1638,PASS,
E_cnv_rescue_19,heatmap_overlay_shuffle.png,True,2417352,image_opened,dimensions=2048x1638,PASS,
E_cnv_rescue_19,tile_scores.csv,True,11246,parsed,"tile_idx,x_level,y_level,score_raw,score_norm,tissue_keep",PASS,
E_cnv_rescue_19,metadata.json,True,2669,parsed,sample_id=SLX-12451.D710_D506; patient_id=PR1/HIN/043; model=abmil; model_prob_explain=0.3992293770098505; n_tiles_used=256; attribution_method=attention,PASS,
F_histology_rescue_24,top_tiles_grid.png,True,2328064,image_opened,dimensions=1156x1356,PASS,
F_histology_rescue_24,bottom_tiles_grid.png,True,1984532,image_opened,dimensions=1156x1356,PASS,
F_histology_rescue_24,heatmap_overlay.png,True,3252538,image_opened,dimensions=1862x2048,PASS,
F_histology_rescue_24,heatmap_overlay_shuffle.png,True,3255697,image_opened,dimensions=1862x2048,PASS,
F_histology_rescue_24,tile_scores.csv,True,11222,parsed,"tile_idx,x_level,y_level,score_raw,score_norm,tissue_keep",PASS,
F_histology_rescue_24,metadata.json,True,2642,parsed,sample_id=SLX-12455.D710_D507; patient_id=PR1/BED/037; model=abmil; model_prob_explain=0.9556724011341127; n_tiles_used=256; attribution_method=attention,PASS,
G_fusion_hurt_26,top_tiles_grid.png,True,2295837,image_opened,dimensions=1156x1356,PASS,
G_fusion_hurt_26,bottom_tiles_grid.png,True,2083056,image_opened,dimensions=1156x1356,PASS,
G_fusion_hurt_26,heatmap_overlay.png,True,3507192,image_opened,dimensions=1862x2048,PASS,
G_fusion_hurt_26,heatmap_overlay_shuffle.png,True,3509362,image_opened,dimensions=1862x2048,PASS,
G_fusion_hurt_26,tile_scores.csv,True,11207,parsed,"tile_idx,x_level,y_level,score_raw,score_norm,tissue_keep",PASS,
G_fusion_hurt_26,metadata.json,True,2684,parsed,sample_id=SLX-12455.D705_D507; patient_id=PR1/HIN/072; model=abmil; model_prob_explain=0.8599200367133789; n_tiles_used=256; attribution_method=attention,PASS,
I_modality_disagreement_37,top_tiles_grid.png,True,2539440,image_opened,dimensions=1156x1356,PASS,
I_modality_disagreement_37,bottom_tiles_grid.png,True,2113151,image_opened,dimensions=1156x1356,PASS,
I_modality_disagreement_37,heatmap_overlay.png,True,2146681,image_opened,dimensions=2048x1352,PASS,
I_modality_disagreement_37,heatmap_overlay_shuffle.png,True,2150326,image_opened,dimensions=2048x1352,PASS,
I_modality_disagreement_37,tile_scores.csv,True,11533,parsed,"tile_idx,x_level,y_level,score_raw,score_norm,tissue_keep",PASS,
I_modality_disagreement_37,metadata.json,True,2662,parsed,sample_id=SLX-12455.D707_D507; patient_id=PR1/PTB/070; model=abmil; model_prob_explain=0.9751919785010257; n_tiles_used=256; attribution_method=attention,PASS,
